age;nombre
0;746 977
1;763 974
2;789 195
3;792 733
4;812 439
5;823 570
6;844 456
7;841 068
8;847 468
9;841 255
10;855 245
11;836 951
12;834 055
13;829 152
14;833 764
15;848 927
16;864 195
17;820 704
18;805 878
19;778 585
20;774 807
21;760 106
22;736 282
23;727 622
24;763 019
25;771 045
26;785 960
27;786 657
28;796 577
29;797 738
30;812 632
31;812 118
32;809 210
33;801 309
34;851 554
35;860 293
36;872 641
37;827 337
38;812 844
39;820 568
40;798 964
41;821 730
42;865 755
43;915 301
44;935 255
45;929 596
46;913 064
47;898 372
48;893 407
49;888 397
50;908 532
51;909 406
52;919 041
53;908 445
54;876 532
55;877 315
56;873 334
57;864 796
58;845 072
59;839 477
60;830 280
61;818 138
62;816 932
63;796 933
64;806 728
65;786 040
66;813 697
67;795 676
68;790 184
69;771 329
70;728 341
71;546 553
72;530 246
73;511 403
74;471 086
75;417 804
76;431 051
77;444 059
78;431 699
79;416 641
80;408 701
81;389 494
82;381 287
83;351 275
84;346 404
85;318 184
86;296 505
87;255 522
88;228 729
89;198 742
90;172 865
91;148 051
92;120 789
93;98 326
94;79 765
95;61 611
96;47 102
97;20 631
98;12 563
99;8 127
100 ou plus;18 632
