Annees;Year2015;Year2016
1;-0,00157;-0,00302
2;-0,00129;-0,00261
3;-0,00038;-0,00208
4;0,00096;-0,00123
5;0,00232;-0,00024
6;0,00381;0,00092
7;0,00526;0,00215
8;0,00667;0,00341
9;0,00801;0,00461
10;0,00921;0,00571
11;0,01026;0,00671
12;0,0112;0,0076
13;0,01208;0,00841
14;0,01284;0,00908
15;0,01344;0,00958
16;0,01388;0,00993
17;0,01422;0,01019
18;0,01454;0,01046
19;0,01488;0,01077
20;0,01527;0,01117
21;0,01574;0,01167
22;0,01627;0,01226
23;0,01683;0,01289
24;0,01741;0,01355
25;0,018;0,01423
26;0,01859;0,01492
27;0,01918;0,01559
28;0,01976;0,01626
29;0,02033;0,01692
30;0,02088;0,01756
31;0,02141;0,01818
32;0,02193;0,01878
33;0,02243;0,01937
34;0,02292;0,01993
35;0,02338;0,02047
36;0,02383;0,02099
37;0,02426;0,02149
38;0,02468;0,02198
39;0,02508;0,02244
40;0,02547;0,02289
41;0,02584;0,02332
42;0,02619;0,02373
43;0,02654;0,02413
44;0,02687;0,02451
45;0,02719;0,02488
46;0,02749;0,02524
47;0,02779;0,02558
48;0,02807;0,02591
49;0,02834;0,02622
50;0,02861;0,02653
51;0,02886;0,02682
52;0,02911;0,02711
53;0,02934;0,02738
54;0,02957;0,02764
55;0,02979;0,0279
56;0,03001;0,02815
57;0,03021;0,02839
58;0,03041;0,02862
59;0,03061;0,02884
60;0,03079;0,02906
61;0,03097;0,02927
62;0,03115;0,02947
63;0,03132;0,02966
64;0,03148;0,02986
65;0,03164;0,03004
66;0,0318;0,03022
67;0,03195;0,03039
68;0,0321;0,03056
69;0,03224;0,03073
70;0,03238;0,03089
71;0,03251;0,03104
72;0,03264;0,03119
73;0,03277;0,03134
74;0,03289;0,03148
75;0,03301;0,03162
76;0,03313;0,03176
77;0,03325;0,03189
78;0,03336;0,03202
79;0,03347;0,03215
80;0,03357;0,03227
81;0,03368;0,03239
82;0,03378;0,0325
83;0,03388;0,03262
84;0,03397;0,03273
85;0,03407;0,03284
86;0,03416;0,03294
87;0,03425;0,03305
88;0,03434;0,03315
89;0,03442;0,03325
90;0,03451;0,03334
91;0,03459;0,03344
92;0,03467;0,03353
93;0,03475;0,03362
94;0,03482;0,03371
95;0,0349;0,0338
96;0,03497;0,03388
97;0,03504;0,03397
98;0,03512;0,03405
99;0,03518;0,03413
100;0,03525;0,03421
101;0,03532;0,03428
102;0,03538;0,03436
103;0,03545;0,03443
104;0,03551;0,0345
105;0,03557;0,03458
106;0,03563;0,03465
107;0,03569;0,03471
108;0,03575;0,03478
109;0,03581;0,03485
110;0,03586;0,03491
111;0,03592;0,03498
112;0,03597;0,03504
113;0,03603;0,0351
114;0,03608;0,03516
115;0,03613;0,03522
116;0,03618;0,03528
117;0,03623;0,03533
118;0,03628;0,03539
119;0,03633;0,03545
120;0,03637;0,0355
121;0,03642;0,03555
122;0,03647;0,03561
123;0,03651;0,03566
124;0,03656;0,03571
125;0,0366;0,03576
126;0,03664;0,03581
127;0,03668;0,03586
128;0,03672;0,03591
129;0,03677;0,03595
130;0,03681;0,036
131;0,03685;0,03605
132;0,03688;0,03609
133;0,03692;0,03613
134;0,03696;0,03618
135;0,037;0,03622
136;0,03703;0,03626
137;0,03707;0,03631
138;0,03711;0,03635
139;0,03714;0,03639
140;0,03718;0,03643
141;0,03721;0,03647
142;0,03724;0,03651
143;0,03728;0,03654
144;0,03731;0,03658
145;0,03734;0,03662
146;0,03737;0,03666
147;0,03741;0,03669
148;0,03744;0,03673
149;0,03747;0,03676
150;0,0375;0,0368
