Date;Open;High;Low;Close;Adj Close;Volume;Taux10ans
01/03/1990;1836;1838;1827;1832;1832;0;10,27
02/03/1990;1831;1860;1831;1860;1860;0;10,31
05/03/1990;1866;1874;1862;1874;1874;0;10,26
06/03/1990;1869;1875;1866;1872;1872;0;10,27
07/03/1990;1874;1881;1874;1880;1880;0;10,29
08/03/1990;1891;1923;1891;1917;1917;0;10,18
09/03/1990;1936;1941;1921;1921;1921;0;10,18
12/03/1990;1917;1918;1912;1912;1912;0;10,21
13/03/1990;1924;1924;1924;1924;1924;0;10,19
14/03/1990;1919;1946;1919;1946;1946;0;10,11
15/03/1990;1966;1967;1950;1964;1964;0;10,03
16/03/1990;1963;1967;1952;1958;1958;0;9,93
19/03/1990;1950;1953;1931;1936;1936;0;10,04
20/03/1990;1934;1941;1922;1925;1925;0;9,96
21/03/1990;1926;1940;1924;1938;1938;0;9,84
22/03/1990;1918;1931;1910;1914;1914;0;9,78
23/03/1990;1924;1944;1923;1937;1937;0;9,8
26/03/1990;1948;1967;1948;1964;1964;0;9,75
27/03/1990;1956;1959;1944;1946;1946;0;9,8
28/03/1990;1944;1948;1931;1939;1939;0;9,81
29/03/1990;1944;1953;1940;1947;1947;0;9,69
30/03/1990;1943;1975;1943;1972;1972;0;9,59
02/04/1990;1951;1962;1937;1947;1947;0;9,55
03/04/1990;1953;1990;1953;1985;1985;0;9,6
04/04/1990;1997;2014;1994;2001;2001;0;9,58
05/04/1990;2004;2034;1997;2028;2028;0;9,52
06/04/1990;2054;2081;2053;2070;2070;0;9,53
09/04/1990;2076;2086;2063;2083;2083;0;9,6
10/04/1990;2076;2079;2065;2075;2075;0;9,67
11/04/1990;2074;2107;2072;2103;2103;0;9,62
12/04/1990;2105;2117;2096;2117;2117;0;9,6
13/04/1990;;;;;;;
16/04/1990;;;;;;;
17/04/1990;2122;2141;2117;2126;2126;0;9,65
18/04/1990;2128;2128;2096;2098;2098;0;9,64
19/04/1990;2073;2102;2072;2097;2097;0;9,72
20/04/1990;2101;2131;2100;2129;2129;0;9,67
23/04/1990;2126;2138;2084;2090;2090;0;9,73
24/04/1990;2082;2109;2082;2101;2101;0;9,68
25/04/1990;2104;2114;2091;2092;2092;0;9,61
26/04/1990;2100;2108;2067;2072;2072;0;9,61
27/04/1990;2080;2080;2054;2066;2066;0;9,61
30/04/1990;2057;2057;2032;2046;2046;0;9,66
01/05/1990;;;;;;;
02/05/1990;2056;2073;2048;2066;2066;0;9,7
03/05/1990;2085;2104;2081;2099;2099;0;9,67
04/05/1990;2108;2116;2096;2099;2099;0;9,5
07/05/1990;2111;2122;2103;2120;2120;0;9,46
08/05/1990;;;;;;;
09/05/1990;2133;2134;2103;2103;2103;0;9,46
10/05/1990;2104;2106;2089;2104;2104;0;9,43
11/05/1990;2089;2102;2081;2092;2092;0;9,47
14/05/1990;2099;2099;2083;2090;2090;0;9,5
15/05/1990;2088;2088;2064;2070;2070;0;9,56
16/05/1990;2068;2080;2057;2071;2071;0;9,55
17/05/1990;2069;2105;2069;2104;2104;0;9,53
18/05/1990;2110;2120;2096;2100;2100;0;9,57
21/05/1990;2083;2094;2075;2092;2092;0;9,61
22/05/1990;2094;2117;2093;2115;2115;0;9,6
23/05/1990;2136;2141;2117;2123;2123;0;9,59
24/05/1990;;;;;;;
25/05/1990;2124;2124;2110;2112;2112;0;9,58
