Date;SPOT;31/12/2016;31/12/2015;31/12/2014;31/12/2013;31/12/2012;31/12/2011;31/12/2010;31/12/2009;31/12/2008;31/12/2007;31/12/2006;31/12/2005;31/12/2004;31/12/2003;31/12/2002;31/12/2001;31/12/2000;31/12/1999
2000;0,060173;;;;;;;;;;;;;;;;;;0,060173
2001;0,054462;;;;;;;;;;;;;;;;;0,054462;0,063491
2002;0,020841;;;;;;;;;;;;;;;;0,020841;0,048454;0,063125
2003;0,012389;;;;;;;;;;;;;;;0,012389;0,040413;0,048062;0,064423
2004;0,012427;;;;;;;;;;;;;;0,012427;0,019501;0,051045;0,049602;0,066463
2005;0,027691;;;;;;;;;;;;;0,027691;0,024073;0,02916;0,056113;0,05163;0,068401
2006;0,044007;;;;;;;;;;;;0,044007;0,033615;0,034888;0,037286;0,059463;0,053586;0,069911
2007;0,04953;;;;;;;;;;;0,04953;0,043623;0,03686;0,042596;0,043954;0,061949;0,055299;0,070933
2008;0,032102;;;;;;;;;;0,032102;0,045946;0,042537;0,039906;0,048341;0,04941;0,063795;0,056705;0,071499
2009;0,00385;;;;;;;;;0,00385;0,028504;0,044585;0,042097;0,043163;0,052847;0,053825;0,065093;0,057814;0,071671
2010;0,005461;;;;;;;;0,005461;0,007576;0,031593;0,044595;0,042466;0,046465;0,056428;0,057315;0,065938;0,058666;0,071519
2011;0,003033;;;;;;;0,003033;0,017371;0,0145;0,036977;0,045374;0,043426;0,049577;0,059272;0,060013;0,06641;0,059247;0,071115
2012;0,001493;;;;;;0,001493;0,008879;0,028324;0,022302;0,042434;0,046534;0,044678;0,052339;0,061465;0,062017;0,066557;0,059633;0,070496
2013;0,001943;;;;;0,001943;0,003357;0,019903;0,037696;0,029612;0,046982;0,047816;0,045998;0,05463;0,063103;0,063398;0,066431;0,059825;0,069718
2014;0,001511;;;;0,001511;0,003027;0,007645;0,030301;0,045268;0,035728;0,050292;0,049028;0,047204;0,056454;0,064255;0,064248;0,066091;0,059857;0,068817
2015;0,00294;;;0,00294;0,006395;0,006298;0,012965;0,038529;0,051058;0,040348;0,052412;0,050096;0,048184;0,057798;0,064993;0,064659;0,065585;0,059748;0,067813
2016;0,007898;;0,007898;0,011188;0,017012;0,010752;0,01843;0,044561;0,055223;0,043428;0,0535;0,050936;0,04891;0,058686;0,065338;0,064639;0,064926;0,059522;0,066755
2017;0,008977;0,008977;0,013612;0,019427;0,027462;0,015675;0,023532;0,048827;0,057991;0,04508;0,053794;0,051536;0,049342;0,059172;0,065388;0,064316;0,06415;0,059191;0,065643
2018;;0,015059;0,018993;0,024329;0,035755;0,020595;0,027988;0,051759;0,059592;0,045486;0,053507;0,051884;0,049509;0,059298;0,065156;0,063678;0,0633;0,058767;0,064524
2019;;0,021006;0,023181;0,026676;0,041633;0,025206;0,031678;0,053719;0,060256;0,044862;0,052839;0,051964;0,049401;0,059106;0,064694;0,062802;0,06236;0,058281;0,06339
2020;;0,025482;0,026121;0,027616;0,045435;0,02932;0,034579;0,054969;0,060227;0,04344;0,051923;0,051836;0,049068;0,058632;0,064032;0,061716;0,061408;0,057749;0,062265
2021;;0,028406;0,028023;0,027922;0,047669;0,032831;0,036763;0,055699;0,059649;0,041413;0,050897;0,05148;0,04851;0,057934;0,063208;0,060476;0,060392;0,057145;0,061151
2022;;0,030112;0,029193;0,027998;0,048829;0,035723;0,038268;0,056045;0,058701;0,038971;0,049814;0,050924;0,047783;0,057044;0,062236;0,059078;0,059403;0,056521;0,060068
2023;;0,031006;0,029875;0,028059;0,049269;0,037981;0,03923;0,056103;0,057515;0,036259;0,048782;0,050194;0,046891;0,055956;0,06116;0,057587;0,058349;0,055847;0,059012
2024;;0,031408;0,030284;0,028165;0,049268;0,039669;0,039699;0,055901;0,056188;0,033417;0,047807;0,049344;0,045876;0,054734;0,059982;0,055985;0,057361;0,055179;0,057974
2025;;0,031564;0,03057;0,028361;0,049042;0,040799;0,039805;0,055552;0,054776;0,030512;0,046883;0,048329;0,04475;0,05341;0,05876;0,054354;0,056355;0,054483;0,056992
2026;;0,03164;0,030837;0,028623;0,048668;0,041473;0,039623;0,05502;0,053373;0,027694;0,046074;0,047229;0,043546;0,051994;0,057442;0,052642;0,055347;0,053767;0,056055
2027;;0,031736;0,031125;0,028967;0,048274;0,041748;0,039201;0,054406;0,051991;0,024928;0,045344;0,04606;0,04228;0,050514;0,0561;0,050902;0,054405;0,053066;0,055147
2028;;0,03188;0,031489;0,029355;0,047868;0,041648;0,038633;0,05369;0,050707;0,022334;0,044716;0,044772;0,040922;0,04895;0,054716;0,049166;0,053445;0,052364;0,054305
2029;;0,032139;0,031931;0,029779;0,04751;0,041282;0,037951;0,052898;0,049453;0,01989;0,044164;0,043461;0,039576;0,047397;0,053366;0,047385;0,052559;0,05164;0,053481
