mat,tenor,price,valueCalc
2,1,0.002063148,0.003398027
3,1,0.003201961,0.004150599
4,1,0.004632503,0.004771530
5,1,0.004781641,0.005299944
7,1,0.006583631,0.006141274
10,1,0.007697061,0.007004658
1,2,0.001252210,0.004798815
2,2,0.003742393,0.006770172
3,2,0.006413379,0.008263792
4,2,0.008246179,0.009490052
5,2,0.009157083,0.010528969
7,2,0.012992629,0.012175544
10,2,0.015372987,0.013868040
1,3,0.003233744,0.007171828
2,3,0.007354717,0.010111453
3,3,0.010755666,0.012328937
4,3,0.013378543,0.014142653
5,3,0.014444870,0.015672953
7,3,0.020472578,0.018096530
10,3,0.023699750,0.020589660
1,4,0.006208186,0.009522137
2,4,0.011360366,0.013410958
3,4,0.015865509,0.016333967
4,4,0.018861762,0.018715673
5,4,0.020343821,0.020722743
7,4,0.026827593,0.023900195
10,4,0.032458852,0.027179969
1,5,0.009368455,0.011840742
2,5,0.016363651,0.016658444
3,5,0.021184634,0.020266509
4,5,0.025126619,0.023201797
5,5,0.026656918,0.025673919
7,5,0.033444261,0.029586667
10,5,0.041474544,0.033659053
1,6,0.012681225,0.014120283
2,6,0.020555648,0.019843590
3,6,0.026096968,0.024121243
4,6,0.031461232,0.027597922
5,6,0.033154941,0.030523526
7,6,0.041847572,0.035153053
10,6,0.050065717,0.040045878
1,7,0.015710957,0.016353418
2,7,0.024655065,0.022963010
3,7,0.030880302,0.027896370
4,7,0.036541389,0.031901869
5,7,0.040387773,0.035272959
7,7,0.051117532,0.040615343
10,7,0.059201531,0.046342068
1,8,0.018517607,0.018538487
2,8,0.028422005,0.026016050
3,8,0.033976997,0.031590460
4,8,0.041749048,0.036115592
5,8,0.048352401,0.039918661
7,8,0.061235210,0.045996916
10,8,0.068901731,0.052521217
1,9,0.020881695,0.020675643
2,9,0.030433431,0.029001943
3,9,0.036636973,0.035205913
4,9,0.047042476,0.040235709
5,9,0.057099931,0.044479616
7,9,0.069846989,0.051313471
10,9,0.079141375,0.058562741
1,10,0.021743713,0.022764569
2,10,0.031805661,0.031923014
3,10,0.038739612,0.038739635
4,10,0.052375071,0.044281458
5,10,0.066609075,0.048979236
7,10,0.078945244,0.056562562
10,10,0.089920100,0.064424534
